data_10:
13,9,8,5,7,13,11,13,8,10,10,5,7,9,8,14,11,15,6,15
8,10,8,9,4,8,7,13,9,9,8,10,10,14,9,8,5,14,10,13
7,12,11,13,7,10,11,8,6,9,10,13,9,7,5,11,9,10,9,11
8,11,10,9,12,7,7,9,10,13,9,11,8,7,9,19,15,6,7,9
2,9,9,7,9,9,7,9,10,13,9,10,7,15,12,14,11,8,8,8
8,6,15,10,8,9,6,11,13,8,8,7,13,7,9,12,5,13,8,11
12,10,6,8,4,8,9,6,9,13,12,15,6,5,17,10,6,8,6,7
10,13,7,6,8,14,8,10,5,11,8,15,10,13,10,13,13,10,9,9
3,10,11,10,4,9,11,14,11,6,10,6,12,11,13,10,8,7,6,6
7,11,14,5,10,10,7,7,7,14,10,9,12,14,8,8,14,11,5,12
8,14,13,10,3,9,9,4,11,6,9,7,3,17,10,7,7,6,10,18
6,10,6,5,7,12,5,11,5,10,10,4,11,5,8,13,18,8,8,6
5,10,7,11,12,12,13,11,9,8,12,11,5,14,8,9,7,12,6,12
12,13,1,4,15,9,8,7,6,1,7,8,11,7,11,9,8,9,9,10
10,6,6,8,10,9,5,9,10,10,9,12,12,8,13,10,11,6,12,14
6,8,7,14,9,9,9,10,9,8,9,11,9,6,7,9,13,9,9,8
7,6,9,11,7,9,3,10,13,9,8,13,12,12,7,7,12,9,9,15
20,9,5,14,9,8,16,7,7,8,10,12,9,10,6,13,11,6,10,7
13,11,6,5,7,7,8,8,7,8,7,10,11,10,6,8,12,13,12,20
11,8,12,10,12,8,10,10,7,7,12,8,10,8,12,7,12,13,8,6

data_20:
22,13,20,24,18,15,16,22,26,21
18,17,12,20,18,18,24,17,19,23
19,24,17,19,15,23,16,16,19,20
19,19,19,16,23,20,15,28,21,16
11,16,18,16,23,19,22,26,19,16
14,25,17,17,21,15,20,21,18,19
22,14,12,15,22,27,11,27,14,13
23,13,22,18,16,23,23,23,23,18
13,21,13,25,17,16,23,23,15,12
18,19,20,14,21,19,26,16,25,17
22,23,12,13,17,16,20,17,13,28
16,11,19,16,15,14,16,21,26,14
15,18,24,24,17,23,19,17,19,18
25,5,24,15,7,15,18,20,17,19
16,14,19,14,20,21,20,23,17,26
14,21,18,19,17,20,15,16,22,17
13,20,16,13,22,21,24,14,21,24
29,19,17,23,15,22,19,19,17,17
24,11,14,16,15,17,21,14,25,32
19,22,20,20,14,20,18,19,25,14

data_40:
35,44,33,38,47,35,32,36,41,42
43,36,38,32,39,38,35,43,43,37
27,34,42,48,35,39,34,36,41,37
36,27,49,38,27,36,40,39,46,41
34,38,33,46,27,37,34,40,42,42
45,25,33,37,41,27,35,29,37,40
33,48,40,36,37,30,39,22,38,36
30,33,41,43,43,35,37,37,31,39
33,29,43,38,45,48,40,37,38,34
35,30,32,35,57,41,40,34,37,39

data_80:
79,71,82,68,83
79,70,77,78,80
61,90,74,70,78
63,87,63,79,87
72,79,64,74,84
70,70,68,64,77
81,76,67,61,74
63,84,78,74,70
62,81,93,77,72
65,67,98,74,76


Histogram Data

data_10:
0,0,0.0
1,2,0.005
2,1,0.0025
3,4,0.01
4,6,0.015
5,18,0.045
6,33,0.0825
7,47,0.1175
8,54,0.135
9,58,0.145
10,52,0.13
11,33,0.0825
12,30,0.075
13,30,0.075
14,15,0.0375
15,9,0.0225
16,1,0.0025
17,2,0.005

data_20:
7,1,0.005
8,0,0.0
9,0,0.0
10,0,0.0
11,4,0.02
12,4,0.02
13,9,0.045
14,14,0.07
15,13,0.065
16,19,0.095
17,19,0.095
18,14,0.07
19,23,0.115
20,15,0.075
21,12,0.06
22,11,0.055
23,15,0.075
24,9,0.045
25,6,0.03
26,5,0.025
27,2,0.01
28,2,0.01
29,1,0.005
30,0,0.0
31,0,0.0
32,1,0.005
33,0,0.0

data_40:
20,0,0.0
21,0,0.0
22,1,0.01
23,0,0.0
24,0,0.0
25,1,0.01
26,0,0.0
27,5,0.05
28,0,0.0
29,2,0.02
30,3,0.03
31,1,0.01
32,3,0.03
33,6,0.06
34,6,0.06
35,8,0.08
36,7,0.07
37,10,0.1
38,8,0.08
39,6,0.06
40,6,0.06
41,6,0.06
42,4,0.04
43,6,0.06
44,1,0.01
45,2,0.02
46,2,0.02
47,1,0.01
48,3,0.03
49,1,0.01
50,0,0.0
51,0,0.0

data_80:
55,0,0.0
56,0,0.0
57,0,0.0
58,0,0.0
59,0,0.0
60,0,0.0
61,2,0.04
62,1,0.02
63,3,0.06
64,2,0.04
65,1,0.02
66,0,0.0
67,2,0.04
68,2,0.04
69,0,0.0
70,5,0.1
71,1,0.02
72,2,0.04
73,0,0.0
74,5,0.1
75,0,0.0
76,2,0.04
77,3,0.06
78,3,0.06
79,4,0.08
80,1,0.02
81,2,0.04
82,1,0.02
83,1,0.02
84,2,0.04
85,0,0.0
86,0,0.0
87,2,0.04
88,0,0.0
89,0,0.0
90,1,0.02
91,0,0.0
92,0,0.0
93,1,0.02
94,0,0.0
95,0,0.0
